size,processes,time_ms,operations,perf_M_ops
200,2,41.5561,16000000,385.022
400,2,329.102,128000000,388.937
800,2,2535.02,1024000000,403.942
1200,2,7967.66,3456000000,433.754
1600,2,18747.2,8192000000,436.973
2000,2,36535.2,16000000000,437.934
