size,processes,time_ms,operations,perf_M_ops
200,4,20.812,16000000,768.786
400,4,166.117,128000000,770.541
800,4,1323.67,1024000000,773.608
1200,4,4080.14,3456000000,847.029
1600,4,9595.89,8192000000,853.699
2000,4,18565.1,16000000000,861.834
