size,processes,time_ms,operations,perf_M_ops
200,8,10.37,16000000,1542.91
400,8,82.4981,128000000,1551.55
800,8,676.89,1024000000,1512.8
1200,8,2087.57,3456000000,1655.51
1600,8,4900.43,8192000000,1671.69
2000,8,9564.57,16000000000,1672.84
