size,processes,time_ms,operations,perf_M_ops
200,1,82.196,16000000,194.657
400,1,656.596,128000000,194.945
800,1,4815.72,1024000000,212.637
1200,1,15781.3,3456000000,218.994
1600,1,37718.6,8192000000,217.187
2000,1,72914.4,16000000000,219.435
